WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
28-February-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,9,0,144910,Political violence,285,26.1927,50.5508
07-March-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,7,1,57503,Political violence,285,26.1927,50.5508
14-March-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,1,0,22606,Political violence,285,26.1927,50.5508
21-March-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,1,0,22606,Political violence,285,26.1927,50.5508
04-April-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,4,0,22606,Political violence,285,26.1927,50.5508
28-February-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,2,0,56502,Political violence,285,26.1927,50.5508
28-March-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,9706,Political violence,285,26.1927,50.5508
04-April-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,,Political violence,285,26.1927,50.5508
21-March-2026,Middle East,Bahrain,Capital,Violence against civilians,Attack,1,0,22606,Political violence,285,26.1927,50.5508
28-February-2026,Middle East,Bahrain,Muharraq,Explosions/Remote violence,Air/drone strike,1,0,40780,Political violence,286,26.2547,50.6428
07-March-2026,Middle East,Bahrain,Muharraq,Explosions/Remote violence,Air/drone strike,3,0,141305,Political violence,286,26.2547,50.6428
14-March-2026,Middle East,Bahrain,Muharraq,Explosions/Remote violence,Air/drone strike,1,0,99609,Political violence,286,26.2547,50.6428
28-March-2026,Middle East,Bahrain,Muharraq,Explosions/Remote violence,Air/drone strike,1,0,,Political violence,286,26.2547,50.6428
28-February-2026,Middle East,Bahrain,Muharraq,Explosions/Remote violence,Shelling/artillery/missile attack,2,1,916,Political violence,286,26.2547,50.6428
28-February-2026,Middle East,Bahrain,Northern,Explosions/Remote violence,Air/drone strike,1,0,,Political violence,287,26.1468,50.4809
28-March-2026,Middle East,Bahrain,Northern,Explosions/Remote violence,Air/drone strike,1,0,12640,Political violence,287,26.1468,50.4809
28-February-2026,Middle East,Bahrain,Southern,Explosions/Remote violence,Air/drone strike,1,0,1761,Political violence,288,25.9954,50.5421
14-March-2026,Middle East,Bahrain,Southern,Explosions/Remote violence,Air/drone strike,2,0,32909,Political violence,288,25.9954,50.5421
28-March-2026,Middle East,Bahrain,Southern,Explosions/Remote violence,Air/drone strike,1,0,17712,Political violence,288,25.9954,50.5421
04-April-2026,Middle East,Bahrain,Southern,Explosions/Remote violence,Air/drone strike,1,0,379,Political violence,288,25.9954,50.5421
21-March-2026,Middle East,Bahrain,Southern,Explosions/Remote violence,Shelling/artillery/missile attack,1,1,1761,Political violence,288,25.9954,50.5421
28-February-2026,Middle East,Iran,Alborz,Battles,Armed clash,1,0,489244,Political violence,1329,35.9457,50.906
28-February-2026,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,19,1,1119032,Political violence,1329,35.9457,50.906
07-March-2026,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,32,7,1972498,Political violence,1329,35.9457,50.906
14-March-2026,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,19,0,1203643,Political violence,1329,35.9457,50.906
21-March-2026,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,45,0,2008253,Political violence,1329,35.9457,50.906
28-March-2026,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,37,22,1695111,Political violence,1329,35.9457,50.906
04-April-2026,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,29,17,1466459,Political violence,1329,35.9457,50.906
21-March-2026,Middle East,Iran,Alborz,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,489244,Political violence,1329,35.9457,50.906
14-March-2026,Middle East,Iran,Alborz,Violence against civilians,Attack,1,10,68259,Political violence,1329,35.9457,50.906
28-February-2026,Middle East,Iran,Ardabil,Explosions/Remote violence,Air/drone strike,1,0,97870,Political violence,1330,38.4066,47.9857
21-March-2026,Middle East,Iran,Ardabil,Explosions/Remote violence,Air/drone strike,2,0,450526,Political violence,1330,38.4066,47.9857
28-March-2026,Middle East,Iran,Ardabil,Explosions/Remote violence,Air/drone strike,4,0,450526,Political violence,1330,38.4066,47.9857
04-April-2026,Middle East,Iran,Ardabil,Explosions/Remote violence,Air/drone strike,6,5,450526,Political violence,1330,38.4066,47.9857
28-February-2026,Middle East,Iran,Bushehr,Explosions/Remote violence,Air/drone strike,14,5,366575,Political violence,1331,28.7846,51.5038
07-March-2026,Middle East,Iran,Bushehr,Explosions/Remote violence,Air/drone strike,19,0,489323,Political violence,1331,28.7846,51.5038
14-March-2026,Middle East,Iran,Bushehr,Explosions/Remote violence,Air/drone strike,20,0,362907,Political violence,1331,28.7846,51.5038
21-March-2026,Middle East,Iran,Bushehr,Explosions/Remote violence,Air/drone strike,24,1,428654,Political violence,1331,28.7846,51.5038
28-March-2026,Middle East,Iran,Bushehr,Explosions/Remote violence,Air/drone strike,24,4,537067,Political violence,1331,28.7846,51.5038
04-April-2026,Middle East,Iran,Bushehr,Explosions/Remote violence,Air/drone strike,21,1,389826,Political violence,1331,28.7846,51.5038
07-March-2026,Middle East,Iran,Bushehr,Explosions/Remote violence,Shelling/artillery/missile attack,2,0,161613,Political violence,1331,28.7846,51.5038
28-March-2026,Middle East,Iran,Bushehr,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,46466,Political violence,1331,28.7846,51.5038
28-February-2026,Middle East,Iran,Chaharmahal and Bakhtiari,Explosions/Remote violence,Air/drone strike,1,0,152664,Political violence,1332,31.979,50.8101
07-March-2026,Middle East,Iran,Chaharmahal and Bakhtiari,Explosions/Remote violence,Air/drone strike,2,0,152664,Political violence,1332,31.979,50.8101
21-March-2026,Middle East,Iran,Chaharmahal and Bakhtiari,Explosions/Remote violence,Air/drone strike,2,0,152664,Political violence,1332,31.979,50.8101
